;;"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I14";"I14";"I14";"I14";"I14";"I14";"I17";"I17";"I17";"I17";"I17";"I17";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40"
2021-02-17 00:00:00;2021-02-17 01:00:00;51,4379;5,3582;7,69;12,61;22,57;14;;;;;;;51,4915;5,4392;6,35;11,34;24,22;16;51,4566;5,4383;5,83;9,51;21,28;16;51,4464;5,4484;7,62;12,08;19,66;31;51,4421;5,4845;7,32;11,86;19,64;12;51,4454;5,4854;7,58;12,17;19,84;22;51,4414;5,4712;7,06;11,61;19,15;13;51,4681;5,3901;7,01;11,74;21,14;6;51,4136;5,4707;6,27;10,21;17,68;16;51,4332;5,5199;7,19;11,74;24,88;24;51,4373;5,4233;7,69;12,49;25,43;27;51,4584;5,4050;8,86;14,27;25,56;30;51,4444;5,4787;7,57;12,12;20,87;20;51,4546;5,3887;8,52;13,74;21,33;22;51,4492;5,4569;8,73;13,62;21,50;34;51,4354;5,4801;7,71;12,13;19,85;11;51,4375;5,4517;6,53;9,56;21,55;28;51,4797;5,4751;7,58;12,00;18,80;16;51,4387;5,4818;9,50;14,44;23,58;29;;;8,66;13,53;22,06;51,4389;5,4650;9,08;14,50;22,48;26;51,4527;5,4852;9,11;13,80;21,85;31
2021-02-18 00:00:00;2021-02-18 01:00:00;51,4379;5,3582;5,10;7,60;13,74;21;;;;;;;51,4915;5,4392;4,33;7,02;14,20;23;51,4566;5,4383;4,44;6,28;13,46;21;51,4465;5,4482;5,44;7,80;12,95;29;51,4421;5,4848;4,95;7,34;11,96;16;51,4454;5,4854;5,62;8,08;13,14;24;51,4415;5,4713;4,83;7,14;11,92;18;51,4681;5,3901;4,54;6,93;12,96;15;51,4136;5,4707;4,54;6,79;12,03;18;51,4332;5,5198;4,79;7,01;14,57;28;51,4373;5,4233;5,30;7,68;15,40;34;51,4583;5,4050;6,41;9,19;15,94;32;51,4444;5,4787;5,83;8,24;13,69;18;51,4546;5,3887;5,70;8,56;13,68;27;51,4492;5,4570;5,86;8,40;13,68;37;51,4353;5,4802;4,75;7,23;12,44;18;51,4375;5,4517;5,34;7,02;14,30;33;51,4797;5,4751;4,94;7,43;11,94;18;51,4386;5,4816;6,81;9,44;15,32;29;;;6,29;8,91;14,45;51,4390;5,4650;6,05;8,98;14,23;33;51,4527;5,4852;7,16;9,78;15,74;35
2021-02-19 00:00:00;2021-02-19 01:00:00;51,4379;5,3582;7,45;9,87;15,69;18;;;;;;;51,4915;5,4392;6,01;8,73;16,47;24;51,4568;5,4383;5,72;7,36;13,45;22;51,4464;5,4483;7,10;9,34;14,24;33;51,4421;5,4846;6,38;8,64;13,31;16;51,4454;5,4854;7,33;9,55;14,48;20;51,4416;5,4715;6,02;8,28;13,25;18;51,4681;5,3901;5,97;8,03;13,65;12;51,4136;5,4707;6,15;8,09;12,91;18;51,4331;5,5197;6,86;9,31;16,85;30;51,4372;5,4233;6,54;8,96;16,89;34;51,4585;5,4050;8,08;10,72;17,11;31;51,4445;5,4787;7,46;9,80;15,35;22;51,4546;5,3887;7,14;9,78;14,99;25;51,4492;5,4569;7,53;9,88;15,46;33;51,4354;5,4802;5,95;8,32;13,71;20;51,4375;5,4517;6,76;8,33;15,27;38;51,4797;5,4751;6,07;8,36;13,27;18;51,4385;5,4819;8,13;10,62;16,19;29;;;7,86;10,20;16,02;51,4390;5,4650;7,60;10,37;15,52;33;51,4527;5,4852;8,73;11,24;16,86;37
2021-02-20 00:00:00;2021-02-20 01:00:00;51,4379;5,3582;8,45;12,20;26,73;14;;;;;;;51,4915;5,4392;6,53;11,41;32,91;16;51,4569;5,4383;6,26;9,36;24,57;16;51,4466;5,4484;7,93;12,17;24,61;24;51,4422;5,4844;7,91;11,98;21,20;11;51,4454;5,4854;7,90;11,71;21,46;14;51,4416;5,4715;7,29;11,59;23,38;12;51,4681;5,3901;6,56;10,21;22,10;11;51,4136;5,4707;7,27;10,88;22,82;11;51,4331;5,5197;5,98;9,40;26,49;15;51,4372;5,4233;7,08;11,03;29,16;26;51,4586;5,4050;9,02;13,20;23,79;21;51,4445;5,4787;8,03;11,97;22,88;13;51,4546;5,3887;8,35;13,13;24,77;16;51,4492;5,4569;8,89;13,19;25,37;26;51,4355;5,4800;7,04;11,55;27,41;10;51,4375;5,4517;8,18;10,66;25,35;24;51,4797;5,4751;6,94;11,20;21,55;11;51,4384;5,4818;9,65;13,97;27,72;20;;;9,19;13,32;24,72;51,4390;5,4650;8,83;13,97;26,72;23;51,4527;5,4852;9,68;14,06;26,31;25
2021-02-21 00:00:00;2021-02-21 01:00:00;51,4379;5,3581;6,94;9,25;16,67;25;;;;;;;51,4915;5,4392;5,36;8,06;17,90;19;51,4568;5,4383;4,88;6,74;14,97;18;51,4465;5,4481;6,14;8,46;14,61;29;51,4422;5,4844;6,61;8,86;14,14;28;51,4454;5,4854;6,23;8,38;13,97;25;51,4416;5,4714;5,75;8,16;14,53;21;51,4681;5,3901;4,98;7,12;13,55;21;51,4136;5,4707;5,45;7,54;13,61;20;51,4331;5,5197;4,67;6,70;16,39;20;51,4372;5,4233;5,88;8,24;16,97;39;51,4585;5,4050;7,11;9,61;15,88;33;51,4445;5,4787;6,29;8,56;14,62;21;51,4546;5,3887;6,45;9,17;15,63;26;51,4492;5,4570;6,72;9,02;15,56;34;51,4355;5,4799;5,31;7,71;15,40;21;51,4374;5,4515;6,54;8,07;15,74;34;51,4797;5,4751;5,09;7,41;12,99;17;51,4386;5,4815;7,69;10,20;16,98;32;;;7,05;9,45;15,59;51,4390;5,4650;6,91;9,65;16,20;25;51,4527;5,4852;7,71;10,24;16,66;39
2021-02-22 00:00:00;2021-02-22 01:00:00;51,4379;5,3582;8,20;11,87;24,34;33;;;;;;;51,4915;5,4392;6,17;10,22;25,96;40;51,4569;5,4383;5,84;8,41;19,56;38;51,4465;5,4483;8,20;12,03;22,33;46;51,4422;5,4844;7,35;10,88;18,97;45;51,4454;5,4854;7,33;10,83;19,15;43;51,4416;5,4715;6,92;10,87;21,95;39;51,4681;5,3901;6,24;9,66;19,79;31;51,4136;5,4707;7,13;10,59;20,07;28;51,4332;5,5196;6,55;10,38;27,85;41;51,4372;5,4233;7,32;11,22;26,07;73;51,4584;5,4050;8,65;12,42;21,26;48;51,4445;5,4787;7,69;11,42;21,30;37;51,4546;5,3887;7,82;11,91;22,25;38;51,4492;5,4569;8,82;12,76;24,00;42;51,4352;5,4798;7,11;11,23;23,78;34;51,4374;5,4515;8,02;10,36;23,05;55;51,4797;5,4751;6,40;10,03;18,50;25;51,4387;5,4819;8,96;13,01;25,81;42;;;8,80;12,45;21,62;51,4390;5,4650;8,71;13,40;25,62;47;51,4527;5,4852;9,50;13,56;25,00;72
2021-02-23 00:00:00;2021-02-23 01:00:00;51,4379;5,3582;10,24;16,84;39,41;21;;;;;;;51,4915;5,4392;7,77;15,88;45,64;23;51,4568;5,4383;7,12;12,31;34,90;25;51,4465;5,4484;9,54;16,55;34,58;26;51,4422;5,4844;9,56;16,29;29,07;21;51,4454;5,4854;8,88;15,29;29,81;19;51,4416;5,4715;8,94;16,48;35,31;17;51,4681;5,3901;8,48;15,13;31,93;15;51,4136;5,4707;8,24;14,22;30,27;11;51,4332;5,5198;8,37;15,13;44,36;18;51,4372;5,4233;8,94;16,14;43,53;36;51,4584;5,4050;11,08;18,19;32,32;29;51,4444;5,4787;9,16;15,71;32,14;22;51,4546;5,3887;10,58;18,98;36,63;25;51,4492;5,4569;11,24;18,60;37,34;21;51,4350;5,4797;9,20;16,94;40,95;10;51,4374;5,4515;8,60;12,59;35,59;24;51,4797;5,4751;8,86;16,14;30,59;11;51,4385;5,4818;11,53;18,89;40,60;23;;;10,85;17,68;34,12;51,4390;5,4650;10,95;19,13;37,04;19;51,4527;5,4852;11,09;18,78;40,17;31
2021-02-24 00:00:00;2021-02-24 01:00:00;51,4379;5,3582;11,72;20,01;47,88;20;;;;;;;51,4915;5,4392;9,15;19,60;56,37;23;51,4568;5,4383;8,09;14,58;40,96;24;51,4465;5,4482;10,85;19,83;42,26;29;51,4422;5,4844;11,31;20,19;36,10;23;51,4454;5,4854;10,36;18,76;36,42;16;51,4416;5,4715;10,58;20,10;43,21;17;51,4681;5,3901;9,68;18,02;38,95;11;51,4136;5,4708;9,55;17,13;37,79;13;51,4332;5,5198;9,17;17,89;55,38;20;51,4372;5,4233;9,87;19,13;53,98;34;51,4584;5,4050;12,60;21,61;38,63;28;51,4444;5,4787;10,71;19,35;39,57;23;51,4546;5,3887;12,22;22,57;42,68;20;51,4492;5,4569;13,00;22,66;45,70;19;51,4350;5,4796;11,33;21,60;50,10;19;51,4373;5,4514;9,58;14,82;44,66;37;51,4797;5,4751;10,97;20,19;36,97;10;51,4387;5,4820;13,46;23,06;50,29;23;;;12,91;21,72;40,94;51,4390;5,4649;13,22;24,19;46,16;28;51,4527;5,4852;12,81;22,56;48,60;34
2021-02-25 00:00:00;2021-02-25 01:00:00;51,4379;5,3582;16,54;25,76;54,36;26;;;;;;;51,4915;5,4392;11,20;22,11;57,76;37;51,4568;5,4385;10,74;17,87;46,31;34;51,4464;5,4485;13,63;22,84;44,40;31;51,4422;5,4844;14,00;23,28;39,19;27;51,4454;5,4854;13,11;21,49;38,76;18;51,4416;5,4715;12,95;22,48;45,32;29;51,4681;5,3901;13,13;22,11;43,45;17;51,4136;5,4708;12,64;20,42;40,28;17;51,4333;5,5198;11,67;20,19;55,67;23;51,4372;5,4233;11,92;21,04;55,14;29;51,4584;5,4050;16,46;26,27;43,73;22;51,4444;5,4787;13,54;22,08;42,56;25;51,4546;5,3887;15,94;27,35;47,46;17;51,4492;5,4569;16,20;25,99;48,63;24;51,4352;5,4796;13,68;23,66;51,06;23;51,4372;5,4512;12,40;17,85;47,70;40;51,4797;5,4751;13,32;22,54;39,28;13;51,4387;5,4819;16,81;26,48;52,01;26;;;16,33;25,39;45,79;51,4390;5,4650;15,89;26,79;48,40;39;51,4527;5,4852;16,75;26,84;54,86;44
2021-02-26 00:00:00;2021-02-26 01:00:00;51,4379;5,3582;8,55;12,78;21,67;27;;;;;;;51,4915;5,4392;6,36;10,57;21,12;47;51,4568;5,4384;6,15;9,25;19,55;34;51,4464;5,4484;8,25;12,41;19,78;29;51,4422;5,4844;8,21;12,82;20,67;32;51,4454;5,4854;7,91;12,02;19,92;22;51,4415;5,4714;7,55;12,03;19,62;39;51,4681;5,3901;6,91;10,66;18,65;23;51,4136;5,4708;6,97;10,88;18,54;26;51,4332;5,5197;6,92;10,96;23,06;28;51,4372;5,4233;6,96;10,86;22,33;26;51,4584;5,4050;8,91;13,54;23,61;23;51,4444;5,4787;8,50;12,95;21,44;29;51,4546;5,3887;8,70;13,78;21,57;20;51,4491;5,4569;9,21;13,87;22,61;30;51,4354;5,4798;8,01;12,49;20,24;37;51,4372;5,4512;7,50;10,44;23,51;47;51,4797;5,4751;8,66;12,90;19,26;21;51,4385;5,4819;10,29;15,17;23,99;37;;;9,40;14,09;22,99;51,4390;5,4650;9,40;14,59;23,04;50;51,4528;5,4851;10,48;15,06;23,66;53
2021-02-27 00:00:00;2021-02-27 01:00:00;51,4379;5,3581;21,67;26,04;32,51;20;;;;;;;51,4915;5,4392;14,75;18,96;26,72;37;51,4568;5,4382;16,16;19,77;27,86;25;51,4465;5,4483;20,23;24,81;31,43;19;51,4422;5,4844;18,52;23,03;29,50;26;51,4454;5,4854;19,86;24,63;31,22;10;51,4415;5,4713;17,55;22,17;28,61;27;51,4681;5,3901;17,92;21,49;27,04;21;51,4136;5,4707;18,65;23,11;29,43;16;51,4332;5,5197;15,76;20,17;30,03;16;51,4372;5,4233;15,72;19,64;27,99;29;51,4584;5,4050;21,64;26,39;33,80;22;51,4444;5,4787;19,55;24,47;31,50;21;51,4546;5,3887;19,35;23,89;30,24;19;51,4492;5,4569;21,88;26,43;32,87;15;51,4353;5,4797;18,55;23,33;30,43;26;51,4372;5,4513;17,38;20,98;32,17;34;51,4797;5,4751;19,06;23,41;29,70;16;51,4386;5,4816;23,40;28,89;36,76;14;;;23,74;29,09;36,50;51,4390;5,4650;20,59;26,03;32,88;37;51,4527;5,4851;24,02;29,06;36,52;36
2021-02-28 00:00:00;2021-02-28 01:00:00;51,4379;5,3581;21,06;24,22;29,11;18;;;;;;;51,4915;5,4392;13,07;15,30;20,59;24;51,4569;5,4382;14,84;16,96;22,54;20;51,4465;5,4483;18,38;20,95;25,65;20;51,4422;5,4844;15,78;18,05;22,44;18;51,4454;5,4854;17,40;19,87;24,46;14;51,4415;5,4713;14,85;17,32;21,95;15;51,4681;5,3901;16,43;18,68;23,09;20;51,4136;5,4708;17,17;20,01;24,70;15;51,4332;5,5198;14,02;16,21;21,69;22;51,4372;5,4233;14,27;16,68;22,72;19;51,4584;5,4050;20,16;23,26;28,53;20;51,4444;5,4787;16,75;19,25;24,10;17;51,4546;5,3887;18,06;20,86;25,83;16;51,4492;5,4570;18,99;21,65;26,41;24;51,4351;5,4796;14,69;17,09;21,86;14;51,4372;5,4513;15,70;17,86;23,60;20;51,4797;5,4751;14,97;17,09;21,20;12;51,4386;5,4815;19,27;22,16;27,16;21;;;20,06;22,77;27,64;51,4390;5,4650;17,39;20,30;24,96;23;51,4527;5,4851;20,68;23,28;28,18;26
2021-03-01 00:00:00;2021-03-01 01:00:00;51,4379;5,3582;32,03;38,74;42,57;22;;;;;;;51,4915;5,4392;21,73;24,53;28,30;23;51,4569;5,4383;23,85;27,73;32,03;26;51,4464;5,4483;29,74;33,74;36,48;16;51,4422;5,4844;28,74;31,82;34,41;22;51,4454;5,4854;28,21;32,74;35,45;16;51,4416;5,4714;27,03;30,59;33,54;16;51,4681;5,3901;27,39;31,07;34,21;18;51,4136;5,4707;26,33;32,34;35,84;13;51,4333;5,5197;23,32;27,54;32,30;24;51,4372;5,4233;23,78;27,98;32,78;31;51,4585;5,4050;31,72;37,07;40,36;17;51,4444;5,4787;28,34;32,95;36,11;16;51,4546;5,3887;30,75;34,06;36,21;22;51,4492;5,4569;32,95;37,06;38,78;20;51,4350;5,4796;30,74;34,29;37,04;13;51,4373;5,4515;22,66;27,31;32,70;21;51,4797;5,4751;30,54;32,73;34,55;13;51,4387;5,4820;34,57;40,12;43,34;19;;;33,05;37,69;40,34;51,4390;5,4649;33,13;37,03;40,37;20;51,4527;5,4851;34,32;39,02;41,53;25
2021-03-02 00:00:00;2021-03-02 01:00:00;51,4379;5,3582;26,76;32,23;37,61;52;;;;;;;51,4915;5,4392;19,19;22,95;28,69;47;51,4567;5,4383;19,14;22,57;28,08;46;51,4465;5,4482;22,75;26,34;31,00;40;51,4422;5,4844;22,94;26,00;30,39;43;51,4454;5,4854;22,75;26,72;31,22;43;51,4416;5,4715;21,62;25,22;30,00;35;51,4681;5,3901;22,32;25,97;30,58;46;51,4136;5,4707;21,40;25,47;29,84;25;51,4332;5,5197;18,11;21,62;28,05;46;51,4372;5,4233;19,16;22,99;29,24;63;51,4585;5,4050;26,33;31,29;36,36;56;51,4444;5,4787;22,64;26,75;31,69;34;51,4546;5,3888;25,00;28,78;33,61;49;51,4492;5,4569;26,06;29,87;34,74;54;51,4353;5,4799;23,21;26,55;31,95;33;51,4373;5,4517;19,66;23,27;29,42;61;51,4797;5,4751;23,60;26,36;30,66;31;51,4388;5,4816;27,41;32,14;37,40;48;;;27,48;31,95;36,76;51,4390;5,4650;25,34;29,22;34,77;47;51,4528;5,4851;28,16;32,53;37,66;70
2021-03-03 00:00:00;2021-03-03 01:00:00;51,4379;5,3582;31,99;44,88;54,53;68;;;;;;;51,4915;5,4392;24,19;33,47;44,59;68;51,4568;5,4383;23,88;32,64;42,29;69;51,4464;5,4485;29,80;38,64;46,26;57;51,4422;5,4844;30,45;38,41;45,83;56;51,4454;5,4854;26,87;36,60;43,43;67;51,4416;5,4715;28,74;37,49;45,25;55;51,4681;5,3901;29,91;40,14;48,48;58;51,4136;5,4707;26,11;35,81;43,16;36;51,4332;5,5198;24,40;33,44;45,69;58;51,4372;5,4233;25,07;34,50;45,97;72;51,4585;5,4050;33,51;46,10;53,90;70;51,4444;5,4788;27,99;38,20;46,09;47;51,4546;5,3887;35,28;45,29;52,60;62;51,4492;5,4569;34,17;44,06;52,14;81;51,4353;5,4800;33,37;41,64;50,96;42;51,4375;5,4517;22,34;30,61;41,86;75;51,4797;5,4751;34,17;41,12;47,89;45;51,4386;5,4817;36,51;47,75;56,61;72;;;34,85;46,02;54,13;51,4390;5,4650;36,07;45,64;54,87;60;51,4527;5,4852;34,43;45,67;55,58;105
2021-03-04 00:00:00;2021-03-04 01:00:00;51,4379;5,3582;23,92;37,50;43,97;28;;;;;;;51,4915;5,4392;18,87;30,77;36,72;42;51,4568;5,4382;19,05;29,86;36,97;32;51,4465;5,4483;23,60;34,30;39,27;23;51,4422;5,4844;24,66;32,88;36,93;28;51,4453;5,4854;21,88;32,53;37,26;33;51,4415;5,4714;22,40;31,76;36,66;29;51,4681;5,3901;22,44;34,87;40,49;36;51,4136;5,4707;19,79;31,09;36,16;20;51,4332;5,5198;19,79;28,73;34,53;27;51,4372;5,4233;19,52;30,22;36,46;30;51,4585;5,4050;25,27;40,79;46,81;42;51,4444;5,4787;22,18;33,78;39,16;21;51,4546;5,3887;27,85;40,44;45,40;24;51,4492;5,4569;26,66;37,63;42,21;34;51,4354;5,4801;26,93;35,87;40,69;21;51,4375;5,4517;16,37;25,94;35,02;44;51,4797;5,4751;29,60;38,05;41,17;19;51,4386;5,4821;28,69;41,46;47,95;36;;;26,74;40,93;47,23;51,4390;5,4650;29,24;39,84;44,06;25;51,4527;5,4852;27,61;39,30;44,96;60
2021-03-05 00:00:00;2021-03-05 01:00:00;51,4379;5,3582;7,65;9,53;14,13;30;;;;;;;51,4915;5,4392;5,36;6,96;12,13;56;51,4569;5,4383;5,85;7,18;11,78;22;51,4465;5,4483;7,14;8,80;13,02;35;51,4422;5,4844;6,37;7,92;11,90;30;51,4454;5,4854;7,61;9,27;13,17;47;51,4414;5,4713;6,25;7,93;12,10;30;51,4681;5,3901;6,21;8,68;19,14;56;51,4136;5,4707;6,48;8,19;12,03;24;51,4332;5,5198;5,62;7,15;12,52;44;51,4372;5,4233;5,77;7,25;12,00;37;51,4585;5,4050;8,01;10,07;14,94;69;51,4444;5,4788;7,03;8,78;13,24;25;51,4546;5,3887;6,68;9,01;16,08;40;51,4492;5,4569;7,30;8,99;13,04;48;51,4354;5,4800;5,71;7,42;11,98;27;51,4375;5,4517;7,04;8,38;13,96;55;51,4797;5,4751;6,11;7,56;11,34;26;51,4388;5,4818;7,95;9,88;14,26;52;;;8,71;10,61;15,04;51,4390;5,4650;7,35;9,42;14,29;42;51,4527;5,4851;8,88;10,63;15,19;86
2021-03-06 00:00:00;2021-03-06 01:00:00;51,4379;5,3582;7,45;9,69;14,89;35;;;;;;;51,4915;5,4392;6,13;8,24;14,33;46;51,4568;5,4384;6,29;8,03;14,13;27;51,4465;5,4483;9,22;11,86;16,81;40;51,4422;5,4844;6,59;8,64;13,22;32;51,4454;5,4854;7,43;9,49;14,25;39;51,4414;5,4713;5,69;7,85;12,64;33;51,4681;5,3901;5,87;8,12;14,05;40;51,4136;5,4707;6,72;8,69;13,06;28;51,4332;5,5197;5,84;7,65;13,84;41;51,4372;5,4233;6,25;8,23;14,36;37;51,4585;5,4050;8,64;11,27;17,02;53;51,4447;5,4788;6,91;9,10;14,22;27;51,4546;5,3887;7,01;9,64;15,28;45;51,4492;5,4569;7,67;9,93;14,98;54;51,4353;5,4798;5,91;8,15;13,19;30;51,4375;5,4517;6,88;8,49;15,15;43;51,4797;5,4751;7,42;9,59;14,22;27;51,4386;5,4819;8,18;10,63;15,89;49;;;9,29;11,78;16,77;51,4390;5,4650;7,13;9,72;14,97;43;51,4527;5,4851;9,28;11,50;16,36;61
2021-03-07 00:00:00;2021-03-07 01:00:00;51,4379;5,3582;15,77;17,71;21,63;37;;;;;;;51,4915;5,4392;10,34;11,83;16,04;30;51,4569;5,4384;10,74;12,05;16,23;27;51,4465;5,4483;14,75;16,62;20,55;34;51,4422;5,4844;12,30;13,90;17,51;26;51,4454;5,4854;14,01;15,73;19,30;30;51,4414;5,4715;11,79;13,46;17,22;32;51,4681;5,3901;12,60;14,21;17,95;29;51,4136;5,4707;11,83;13,53;17,09;28;51,4332;5,5197;10,65;12,20;16,69;37;51,4372;5,4233;10,72;12,21;16,66;25;51,4585;5,4050;15,25;17,24;21,33;33;51,4447;5,4788;13,46;15,37;19,41;23;51,4546;5,3887;13,15;14,92;18,84;33;51,4491;5,4569;15,30;17,20;21,00;46;51,4354;5,4798;11,19;12,96;16,98;29;51,4375;5,4516;13,24;14,84;19,53;33;51,4797;5,4751;12,83;14,26;17,60;23;51,4388;5,4818;14,80;16,90;21,08;44;;;16,83;18,89;22,82;51,4390;5,4650;13,14;15,14;19,37;37;51,4528;5,4852;17,08;19,07;23,12;45
2021-03-08 00:00:00;2021-03-08 01:00:00;51,4379;5,3582;35,42;42,78;49,11;55;;;;;;;51,4915;5,4392;25,61;29,81;35,86;48;51,4569;5,4383;26,69;31,01;37,16;34;51,4465;5,4480;32,43;36,99;42,89;40;51,4422;5,4844;32,35;36,07;42,00;34;51,4454;5,4854;30,63;35,65;41,73;36;51,4416;5,4715;30,32;34,47;40,38;39;51,4681;5,3901;32,21;37,02;42,20;38;51,4136;5,4707;28,72;34,48;39,91;36;51,4332;5,5197;26,54;31,06;37,44;46;51,4372;5,4233;26,44;31,21;37,46;40;51,4585;5,4050;35,85;42,44;48,97;45;51,4446;5,4788;31,35;36,63;42,87;28;51,4546;5,3887;36,38;41,02;46,66;45;51,4492;5,4569;36,38;41,74;48,16;50;51,4354;5,4797;34,54;38,28;44,55;31;51,4373;5,4512;24,66;29,69;35,87;44;51,4797;5,4751;36,57;39,81;44,64;28;51,4387;5,4819;39,17;44,96;51,56;45;;;38,19;43,94;50,49;51,4390;5,4650;36,84;41,34;48,05;43;51,4528;5,4852;38,51;44,09;51,02;57
2021-03-09 00:00:00;2021-03-09 01:00:00;51,4379;5,3582;17,47;21,93;26,70;42;;;;;;;51,4915;5,4392;13,55;16,07;20,73;27;51,4566;5,4381;14,15;16,84;21,11;24;51,4465;5,4484;17,73;20,40;24,33;24;51,4422;5,4844;17,25;19,47;22,98;21;51,4454;5,4854;16,69;19,70;23,42;15;51,4416;5,4715;15,92;18,32;22,04;23;51,4681;5,3901;16,15;19,16;23,12;25;51,4136;5,4707;15,09;18,53;22,28;26;51,4332;5,5197;14,35;17,10;21,89;26;51,4372;5,4233;13,92;16,75;21,36;30;51,4585;5,4050;18,43;22,43;26,79;27;51,4444;5,4788;17,36;20,65;24,91;16;51,4546;5,3887;18,40;21,06;24,82;32;51,4491;5,4569;19,73;22,64;26,25;21;51,4351;5,4798;18,57;21,03;25,44;17;51,4373;5,4512;13,42;16,54;21,29;24;51,4797;5,4751;19,21;21,04;23,91;12;51,4385;5,4817;20,86;25,88;31,79;15;;;19,93;23,37;27,37;51,4390;5,4650;20,14;22,72;27,02;16;51,4528;5,4851;20,60;23,97;28,37;26
2021-03-10 00:00:00;2021-03-10 01:00:00;51,4379;5,3582;28,00;32,21;37,72;36;51,5108;5,3606;21,44;23,79;29,01;2;51,4915;5,4392;18,85;21,47;27,15;16;51,4566;5,4381;19,88;22,25;27,38;19;51,4465;5,4485;24,40;27,04;31,78;27;51,4422;5,4844;22,78;24,97;29,46;12;51,4454;5,4854;23,99;26,79;31,45;21;51,4415;5,4714;21,64;24,00;28,79;9;51,4681;5,3901;24,48;27,33;32,06;22;51,4136;5,4707;21,99;24,99;29,55;23;51,4331;5,5197;20,47;23,52;29,11;27;51,4372;5,4233;20,58;23,42;28,81;31;51,4585;5,4050;27,62;31,39;36,73;34;51,4444;5,4788;24,31;27,37;32,37;18;51,4546;5,3887;25,95;28,80;33,65;41;51,4492;5,4569;28,11;31,00;36,09;32;51,4353;5,4799;23,15;25,42;30,54;10;51,4373;5,4512;20,75;23,51;28,76;19;51,4797;5,4751;24,58;26,64;31,02;18;51,4388;5,4818;28,73;32,02;37,44;27;51,4686;5,4723;28,31;31,48;36,38;51,4389;5,4649;25,62;28,27;33,19;19;51,4528;5,4852;29,06;32,24;37,52;26
2021-03-11 00:00:00;2021-03-11 01:00:00;51,4379;5,3582;9,91;13,25;19,45;39;51,5108;5,3606;8,61;11,81;20,92;8;51,4915;5,4392;7,43;10,61;19,80;18;51,4567;5,4383;7,79;10,33;17,62;13;51,4465;5,4482;9,17;12,07;17,35;29;51,4422;5,4844;8,80;11,66;16,93;10;51,4454;5,4854;9,79;12,72;17,75;33;51,4415;5,4714;8,12;10,96;16,34;16;51,4682;5,3901;8,85;11,78;17,35;18;51,4136;5,4707;8,00;10,82;16,34;20;51,4332;5,5198;8,77;11,67;19,21;28;51,4372;5,4233;9,28;12,07;18,57;35;51,4585;5,4050;11,22;14,81;20,69;40;51,4444;5,4788;9,72;12,70;17,94;16;51,4546;5,3887;9,63;12,84;17,78;24;51,4492;5,4570;11,28;14,42;19,46;40;51,4351;5,4799;8,55;11,32;17,25;14;51,4374;5,4515;8,41;10,57;18,86;20;51,4797;5,4751;8,80;11,46;16,55;18;51,4387;5,4819;11,51;14,92;20,49;30;51,4686;5,4723;11,19;14,55;20,30;51,4389;5,4649;10,25;13,64;19,42;21;51,4528;5,4851;11,35;14,56;22,51;28
